MoveIndex|Name|TMIndex|HMIndex|Type|Category|Power|Accuracy|PP|PPMax|Effect|MakesContact|Description|AttackAnimations
198|Mind Reader|-1|-1|Normal|Status|-1|-1|5|8|LockOn|0|The user senses the target's movements with its mind to ensure its next attack does not miss the target.|
199|Nightmare|-1|-1|Ghost|Status|-1|100|15|24|Nightmare|0|A sleeping target sees a nightmare that inflicts some damage every turn.|
200|Flame Wheel|-1|-1|Fire|Physical|60|100|25|40|Thaw;Burn:Chance=10%|1|The user cloaks itself in fire and charges at the target. It may also leave the target with a burn.|
201|Brick Break|31|-1|Fighting|Physical|75|100|15|24|Remove=Lightscreen;Remove=Reflect|1|The user attacks with a swift chop. It can also break any barrier such as Light Screen and Reflect.|
202|Rock Tomb|39|-1|Rock|Physical|50|80|10|16|Speed=-1|0|Boulders are hurled at the target. It also lowers the target's Speed by preventing its movement.|
203|Aerial Ace|40|-1|Flying|Physical|60|-1|20|32|AlwaysHit|1|The user confounds the target with speed, then slashes. The attack lands without fail.|
204|Flame Charge|43|-1|Fire|Physical|50|100|20|32|Speed=+1:User|1|The user cloaks itself with flame and attacks. Building up more power, it raises the user's Speed stat.|
205|Overheat|50|-1|Fire|Special|140|90|5|8|SpecialAttack=-2:User|0|The user attacks the target at full power. The attack's recoil harshly reduces the user's Sp. Atk stat.|
206|Incinerate|59|-1|Fire|Special|30|100|15|24|None|0|The user attacks the target with fire. If the target is holding a Berry, the Berry becomes burnt up and unusable.|
207|Will-O-Wisp|61|-1|Fire|Status|-1|75|15|24|Burn|0|The user shoots a sinister, bluish-white flame at the target to inflict a burn.|
208|Shadow Claw|65|-1|Ghost|Physical|70|100|15|24|CriticalHit=+1|1|The user slashes with a sharp claw made from shadows. It has a high critical-hit ratio.|
209|Air Slash|-1|-1|Flying|Special|75|95|20|32|Flinch:Chance=30%|0|The user attacks with a blade of air that slices even the sky. It may also make the target flinch.|
210|Heat Wave|-1|-1|Fire|Special|100|90|10|16|Burn:Chance=10%|0|The user attacks by exhaling hot breath on the opposing team. It may also leave targets with a burn.|
211|Flare Blitz|-1|-1|Fire|Physical|120|100|15|24|Thaw;Burn:Chance=10%;Recoil=-50%|1|The user cloaks itself in fire and charges at the target. The user sustains serious damage and may leave the target burned.|
212|Rapid Spin|-1|-1|Normal|Physical|20|100|40|64|RapidSpin|1|A spin attack that can also eliminate such moves as Bind, Wrap, Leech Seed, and Spikes.|
213|Water Pulse|-1|-1|Water|Special|60|100|20|32|Confusion:Chance=20%|0|The user attacks the target with a pulsing blast of water. It may also confuse the target.|
214|Aqua Tail|-1|-1|Water|Physical|90|90|10|16|Priority=+1|1|The user attacks by swinging its tail as if it were a vicious wave in a raging storm.|
215|Iron Defense|-1|-1|Steel|Status|-1|-1|15|24|Defence=+2:User|0|The user hardens its body's surface like iron, sharply raising its Defense stat.|
216|Rain Dance|18|-1|Water|Status|-1|-1|5|8|RainDance|0|The user summons a heavy rain that falls for five turns, powering up Water-type moves.|
217|Scald|55|-1|Water|Special|80|100|15|24|Thaw;Burn:Chance=30%|0|The user shoots boiling hot water at its target. It may also leave the target with a burn.|
218|Gyro Ball|74|-1|Steel|Physical|-1|100|5|8|GyroBall|1|The user tackles the target with a high-speed spin. The slower the user, the greater the damage.|
219|Dive|-1|8|Water|Physical|80|100|10|16|Wait=+1;Underwater|1|Diving on the first turn, the user floats up and attacks on the second turn. It can be used to dive deep in the ocean.|
220|Hail|7|-1|Ice|Status|-1|-1|10|16|Hail|0|The user summons a hailstorm lasting five turns. It damages all Pokémon except the Ice type.|
221|Flash Cannon|91|-1|Steel|Special|80|100|10|16|SpecialDefence=-1:Chance=10%|0|The user gathers all its light energy and releases it at once. It may also lower the target's Sp. Def stat.|
222|Dragon Tail|82|-1|Dragon|Physical|60|90|10|16|SwitchOut|1|The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends.|
223|Psyshock|3|-1|Psychic|Special|80|100|10|16|Physical|0|The user materializes an odd psychic wave to attack the target. This attack does physical damage.|
224|Calm Mind|4|-1|Psychic|Status|-1|-1|20|32|SpecialAttack=+1:User;SpecialDefence=+1:User|0|The user quietly focuses its mind and calms its spirit to raise its Sp. Atk and Sp. Def stats.|
225|Taunt|12|-1|Dark|Status|-1|100|20|32|Taunt|0|The target is taunted into a rage that allows it to use only attack moves for three turns.|
226|Telekinesis|19|-1|Psychic|Status|-1|-1|15|24|Telekinesis|0|The user makes the target float with its psychic power. The target is easier to hit for three turns.|
227|Shadow Ball|30|-1|Ghost|Special|80|100|15|24|SpecialDefence=-1:Chance=20%|0|The user hurls a shadowy blob at the target. It may also lower the target's Sp. Def stat.|
228|Torment|41|-1|Dark|Status|-1|100|15|24|Torment|0|The user torments and enrages the target, making it incapable of using the same move twice in a row.|
229|Charge Beam|57|-1|Electric|Special|50|90|10|16|SpecialAttack=+1:Chance=70%:User|0|The user attacks with an electric charge. The user may use any remaining electricity to raise its Sp. Atk stat.|
230|Psych Up|77|-1|Normal|Status|-1|-1|10|16|PsychUp|0|The user hypnotizes itself into copying any stat change made by the target.|
231|Snore|-1|-1|Normal|Special|40|100|15|24|Fail:Awake:User;Flinch:Chance=30%|0|An attack that can be used only if the user is asleep. The harsh noise may make the target flinch.|
232|Curse|-1|-1|Ghost|Status|-1|-1|10|16|Curse|0|A move that works differently for the Ghost type than for all other types.|
233|Flail|-1|-1|Normal|Physical|-1|100|15|24|Flail|1|The user flails about aimlessly to attack. It becomes more powerful the less HP the user has.|
234|Conversion2|-1|-1|Normal|Status|-1|-1|30|48|Conversion2|0|The user changes its type to make itself resistant to the type of the attack the opponent used last.|
235|Aeroblast|-1|-1|Flying|Special|100|95|5|8|CriticalHit=+1|0|A vortex of air is shot at the target to inflict damage. Critical hits land more easily.|
236|Cotton Spore|-1|-1|Grass|Status|-1|100|40|64|Speed=-2|0|The user releases cotton-like spores that cling to the target, harshly reducing its Speed stat.|
237|Reversal|-1|-1|Fighting|Physical|-1|100|15|24|Flail|1|An all-out attack that becomes more powerful the less HP the user has.|
238|Spite|-1|-1|Ghost|Status|-1|100|10|16|PP=-4|0|The user unleashes its grudge on the move last used by the target by cutting 4 PP from it.|
239|Powder Snow|-1|-1|Ice|Special|40|100|25|40|Freeze:Chance=10%|0|The user attacks with a chilling gust of powdery snow. It may also freeze the targets.|
240|Mach Punch|-1|-1|Fighting|Physical|40|100|30|48|Priority=+1|1|The user throws a punch at blinding speed. It is certain to strike first.|
241|Faint Attack|-1|-1|Dark|Physical|60|-1|20|32|AlwaysHit|1|The user approaches the target disarmingly, then throws a sucker punch. It hits without fail.|
242|Sweet Kiss|-1|-1|Normal|Status|-1|75|10|16|Confusion|0|The user kisses the target with a sweet, angelic cuteness that causes confusion.|
243|Belly Drum|-1|-1|Normal|Status|-1|-1|10|16|HP=-50%;Attack=+6|0|The user maximizes its Attack stat in exchange for HP equal to half its max HP.|
244|Mud-Slap|-1|-1|Ground|Special|20|100|10|16|Accuracy=-1|0|The user hurls mud in the target's face to inflict damage and lower its accuracy.|
245|Octazooka|-1|-1|Water|Special|65|85|10|16|Accuracy=-1:Chance=50%|0|The user attacks by spraying ink in the target's face or eyes. It may also lower the target's accuracy.|
246|Spikes|-1|-1|Ground|Status|-1|-1|20|32|Spikes|0|The user lays a trap of spikes at the opposing team's feet. The trap hurts Pokémon that switch into battle.|
247|Zap Cannon|-1|-1|Electric|Special|120|50|5|8|Paralysis|0|The user fires an electric blast like a cannon to inflict damage and cause paralysis.|
248|Astonish|-1|-1|Ghost|Physical|30|100|15|24|Priority=+1;Flinch:Chance=30%|1|The user attacks the target while shouting in a startling fashion. It may also make the target flinch.|
249|Air Cutter|-1|-1|Flying|Special|55|95|25|40|CriticalHit=+1|0|The user launches razorlike wind to slash the foe. It has a high critical-hit ratio.|
250|Mean Look|-1|-1|Normal|Status|-1|-1|5|8|Immobilize|0|The user pins the target with a dark, arresting look. The target becomes unable to flee.|
251|Acrobatics|62|-1|Flying|Physical|110|100|15|24|Acrobatics|1|The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.|
252|Poison Fang|-1|-1|Poison|Physical|50|100|15|24|PoisonBadly:Chance=30%|1|The user bites the target with toxic fangs. It may also leave the target badly poisoned.|
253|Pluck|88|-1|Flying|Physical|60|100|20|32|Pluck|1|The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.|
254|U-Turn|89|-1|Bug|Physical|70|100|20|32|SwitchOut|1|After making its attack, the user rushes back to switch places with a party Pokémon in waiting.|
255|Baton Pass|-1|-1|Normal|Status|-1|-1|40|64|BatonPass|0|The user switches places with a party Pokémon in waiting, passing along any stat changes.|
256|Last Resort|-1|-1|Normal|Physical|140|100|5|8|LastResort|1|This move can be used only after the user has used all the other moves it knows in the battle.|
257|Trump Card|-1|-1|Normal|Special|40|-1|5|8|Trump Card|1|The fewer PP this move has, the greater its attack power.|
258|Pursuit|-1|-1|Dark|Physical|40|100|20|32|Priority=+7;Pursuit|1|An attack move that inflicts double damage if used on a target that is switching out of battle.|
259|Sucker Punch|-1|-1|Dark|Physical|80|100|5|8|Priority=+1;Sucker Punch|1|This move enables the user to attack first. It fails if the target is not readying an attack, however.|
260|Crunch|-1|-1|Dark|Physical|80|100|15|24|Defence=-1:Chance=20%|1|The user crunches up the target with sharp fangs. It may also lower the target's Defense stat.|
261|Assurance|-1|-1|Dark|Physical|50|100|10|16|Assurance|1|If the target has already taken some damage in the same turn, this attack's power is doubled.|
262|Endeavor|-1|-1|Normal|Physical|-1|100|5|8|Endeavor|1|An attack move that cuts down the target's HP to equal the user's HP.|
263|Wild Charge|93|-1|Electric|Physical|90|100|15|24|Recoil=25%|0|The user shrouds itself in electricity and smashes into its target. It also damages the user a little.|
264|Magnitude|-1|-1|Ground|Physical|-1|100|30|48|Magnitude|0|A ground-shaking attack of random intensity.|
265|Mud Bomb|-1|-1|Ground|Special|65|85|10|16|Accuracy=-1:Chance=30%|0|The user launches a hard-packed mud ball to attack. It may also lower the target's accuracy.|
266|Earth Power|-1|-1|Ground|Special|90|100|10|16|SpecialDefence=-1:Chance=10%|0|The user makes the ground under the foe erupt with power. It may also lower the target’s Sp. Def.|
267|Sandstorm|37|-1|Rock|Status|-1|-1|10|16|Sandstorm|0|A five-turn sandstorm is summoned to hurt all combatants except the Rock, Ground, and Steel types.|
268|Payback|66|-1|Dark|Physical|50|100|10|16|Payback|1|The user stores power, then attacks. If the user can use this attack after the target, its power is doubled.|
269|Dark Pulse|-1|-1|Dark|Special|80|100|15|24|Flinch:Chance=20%|0|The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.|
270|Destiny Bond|-1|-1|Ghost|Status|-1|-1|5|8|DestinyBond|0|When this move is used, if the user faints, the foe that landed the knockout hit also faints.|
271|Hex|-1|-1|Ghost|Special|50|100|10|16|Hex|0|This relentless attack does massive damage to a target affected by status problems.|
272|Embargo|63|-1|Dark|Status|-1|100|15|24|Embargo|0|It prevents the foe from using its held item. Its Trainer is also prevented from using items on it.|
273|Lucky Chant|-1|-1|Normal|Status|-1|-1|30|48|LuckyChant|0|The user chants an incantation toward the sky, preventing opposing Pokémon from landing critical hits.|
274|Natural Gift|-1|-1|Normal|Physical|-1|100|15|24|NaturalGift|0|The user draws power to attack by using its held Berry. The Berry determines its type and power.|
275|Moonlight|-1|-1|Normal|Status|-1|-1|5|8|Fail:Day;HP=+66%|0|The user restores its own HP. It fails during the day.|
276|Giga Drain|-1|-1|Grass|Special|75|100|10|16|Drain=50%|0|A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.|
277|Sand Tomb|-1|-1|Ground|Physical|35|85|15|24|Immobilize;Repeat=4to5|0|The user traps the target inside a harshly raging sandstorm for four to five turns.|
278|Feint|-1|-1|Normal|Physical|30|100|10|16|Priority=+2;Feint|0|An attack that hits a target using Protect or Detect. It also lifts the effects of those moves.|
279|Struggle Bug|76|-1|Bug|Special|30|100|20|32|SpecialAttack=-1|0|While resisting, the user attacks the opposing Pokémon. The targets' Sp. Atk stat is reduced.|
280|Mud Sport|-1|-1|Ground|Status|-1|-1|15|24|MudSport|0|Weakens Electric- type attacks while the user is in the battle.|
281|Rock Polish|69|-1|Rock|Status|-1|-1|20|32|Speed=+2:User|0|The user polishes its body to reduce drag. It sharply raises the Speed stat.|
282|Rollout|-1|-1|Rock|Physical|30|90|20|32|Rollout|1|The user continually rolls into the target over five turns. It becomes stronger each time it hits.|
283|Rock Blast|-1|-1|Rock|Physical|25|90|10|16|MultipleHit=2to5|0|The user hurls hard rocks at the target. Two to five rocks are launched in quick succession.|
284|Smack Down|23|-1|Rock|Physical|50|100|15|24|SmackDown|0|The user throws a stone or projectile to attack an opponent. A flying Pokémon will fall to the ground when it's hit.|
285|Stealth Rock|-1|-1|Rock|Status|-1|-1|20|32|StealthRock|0|The user lays a trap of levitating stones around the opponent's team. The trap hurts opponents that switch into battle.|
286|Stone Edge|71|-1|Rock|Physical|100|80|5|8|CriticalHit=+1|0|The user stabs the foe with sharpened stones from below. It has a high critical-hit ratio.|
287|Soak|-1|-1|Water|Status|-1|-1|20|32|Soak|0|The user shoots a torrent of water at the target and changes the target's type to Water.|
288|Zen Headbutt|-1|-1|Psychic|Physical|80|90|15|24|Flinch:Chance=20%|1|The user focuses its willpower to its head and attacks the target. It may also make the target flinch.|
289|Wonder Room|-1|-1|Psychic|Status|-1|-1|10|16|Priority=-7;WonderRoom|0|The user creates a bizarre area in which Pokémon's Defense and Sp. Def stats are swapped for five turns.|
290|Foresight|-1|-1|Normal|Status|-1|-1|40|64|Foresight|0|Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. It also enables an evasive target to be hit.|
291|Perish Song|-1|-1|Normal|Status|-1|-1|5|8|PerishSong|0|Any Pokémon that hears this song faints in three turns, unless it switches out of battle.|
292|Icy Wind|-1|-1|Ice|Special|55|95|15|24|Speed=-1|0|The user attacks with a gust of chilled air. It also reduces the targets' Speed stat.|
293|Detect|-1|-1|Fighting|Status|-1|-1|5|8|Protect;Priority=+3|0|It enables the user to evade all attacks. Its chance of failing rises if it is used in succession.|
294|Bone Rush|-1|-1|Ground|Physical|25|90|10|16|MultipleHit=2to5|0|The user strikes the target with a hard bone two to five times in a row.|
295|Lock-On|-1|-1|Normal|Status|-1|-1|5|8|LockOn|0|The user takes sure aim at the target. It ensures the next attack does not fail to hit the target.|
296|Outrage|-1|-1|Dragon|Physical|120|100|10|16|PetalDance|1|The user rampages and attacks for two to three turns. It then becomes confused, however.|
297|Endure|-1|-1|Normal|Status|-1|-1|10|16|Endure|0|The user endures any attack with at least 1 HP. Its chance of failing rises if it is used in succession.|
298|Charm|-1|-1|Normal|Status|-1|100|20|32|Attack=-2|0|The user gazes at the target rather charmingly, making it less wary. The target's Attack is harshly lowered.|
299|False Swipe|54|-1|Normal|Physical|40|100|40|64|FalseSwipe|1|A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.|
300|Milk Drink|-1|-1|Normal|Status|-1||10|16|HP=+50%|0|The user restores its own HP by up to half of its maximum HP. May also be used in the field to heal HP.|
301|Spark|-1|-1|Electric|Physical|65|100|20|32|Paralysis:Chance=30%|1|The user throws an electrically charged tackle at the target. It may also leave the target with paralysis.|
302|Fury Cutter|-1|-1|Bug|Physical|20|95|20|32|FuryCutter|1|The target is slashed with scythes or claws. Its power increases if it hits in succession.|
303|Steel Wing|-1|-1|Steel|Physical|70|90|25|40|Defence=+1:Chance=10%:User|1|The target is hit with wings of steel. It may also raise the user's Defense stat.|
304|Sleep Talk|-1|-1|Normal|Status|-1|-1|10|16|Fail:Awake:User;SleepTalk|0|While it is asleep, the user randomly uses one of the moves it knows.|
305|Heal Bell|-1|-1|Normal|Status|-1|-1|5|8|HealBell|0|The user makes a soothing bell chime to heal the status problems of all the party Pokémon.|
306|Present|-1|-1|Normal|Physical|-1|90|15|24|Present|0|The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.|
307|Pain Split|-1|-1|Normal|Status|-1|-1|20|32|PainSplit|0|The user adds its HP to the target's HP, then equally shares the combined HP with the target.|
308|DynamicPunch|-1|-1|Fighting|Physical|100|50|5|8|Confusion|1|The user punches the target with full, concentrated power. It confuses the target if it hits.|
309|Megahorn|-1|-1|Bug|Physical|120|85|10|16|None|1|Using its tough and impressive horn, the user rams into the target with no letup.|
310|DragonBreath|-1|-1|Dragon|Special|60|100|20|32|Paralysis:Chance=30%|0|The user exhales a mighty gust that inflicts damage. It may also leave the target with paralysis.|
311|Encore|-1|-1|Normal|Status|-1|100|5|8|Encore|0|The user compels the target to keep using only the move it last used for three turns.|
312|Iron Tail|-1|-1|Steel|Physical|100|75|15|24|Defence=-1:Chance=10%|1|The target is slammed with a steel-hard tail. It may also lower the target's Defense stat|
313|Metal Claw|-1|-1|Steel|Physical|50|95|35|56|Attack=+1:Chance=10%:User|1|The target is raked with steel claws. It may also raise the user's Attack stat.|
314|Vital Throw|-1|-1|Fighting|Physical|70|-1|10|16|Priority=-1|1|The user attacks last. In return, this throw move is guaranteed not to miss.|
315|Morning Sun|-1|-1|Normal|Status|-1|-1|5|8|Fail:Night;HP=+66%|0|The user restores its own HP. It fails during the night.|
316|Cross Chop|-1|-1|Fighting|Physical|100|80|5|8|CriticalHit=+1|1|The user delivers a double chop with its forearms crossed. Critical hits land more easily.|
317|Twister|-1|-1|Dragon|Special|40|100|20|32|Flinch:Chance=20%|0|The user whips up a vicious tornado to tear at the opposing team. It may also make targets flinch.|
318|Mirror Coat|-1|-1|Psychic|Special|-1|100|20|32|Priority=-5;MirrorCoat|0|A retaliation move that counters any special attack, inflicting double the damage taken.|
319|ExtremeSpeed|-1|-1|Normal|Physical|80|100|5|8|Priority=+2|1|The user charges the target at blinding speed. This attack always goes before any other move.|
320|AncientPower|-1|-1|Rock|Special|60|100|5|8|Stats=+1:Chance=10%:User|0|The user attacks with a prehistoric power. It may also raise all the user's stats at once.|
321|Future Sight|-1|-1|Psychic|Special|100|100|10|16|FutureSight|0|Two turns after this move is used, a hunk of psychic energy attacks the target.|
322|Whirlpool|-1|-1|Water|Special|35|85|15|24|Immobilize;Repeat=4to5|0|Traps foes in a violent swirling whirlpool for four to five turns.|
323|Beat Up|-1|-1|Dark|Physical|-1|100|10|16|BeatUp|0|The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.|
324|Fake Out|-1|-1|Normal|Physical|40|100|10|16|FakeOut|1|An attack that hits first and makes the target flinch. It only works the first turn the user is in battle.|
325|Uproar|-1|-1|Normal|Special|90|100|10|16|Uproar|0|The user attacks in an uproar for three turns. Over that time, no one can fall asleep.|
326|Stockpile|-1|-1|Normal|Status|-1|-1|20|32|Defence=+1:User;SpecialDefence=+1:User;Stockpile=+1|0|The user charges up power and raises both its Defense and Sp. Def. The move can be used three times.|
327|Spit Up|-1|-1|Normal|Special|-1|100|10|16|SpitUp|0|The power stored using the move Stockpile is released at once in an attack. The more power is stored, the greater the damage.|
328|Swallow|-1|-1|Normal|Status|-1|-1|10|16|Swallow|0|The power stored using the move Stockpile is absorbed by the user to heal its HP. Storing more power heals more HP.|
329|Flatter|-1|-1|Dark|Status|-1|100|15|24|Confusion;SpecialAttack=+1|0|Flattery is used to confuse the target. However, it also raises the target's Sp. Atk stat.|
330|Memento|-1|-1|Dark|Status|-1|100|10|16|SpecialAttack=-2;Attack=-2;HP=-100%|0|The user faints when using this move. In return, it harshly lowers the target's Attack and Sp. Atk.|
331|Focus Punch|-1|-1|Fighting|Physical|150|100|20|32|Priority=-3;Focus|1|The user focuses its mind before launching a punch. It will fail if the user is hit before it is used.|
332|SmellingSalt|-1|-1|Fighting|Physical|60|100|10|16|DoubleonParalysis;Cure|1|This attack inflicts double damage on a target with paralysis. It also cures the target's paralysis, however.|
333|Follow Me|-1|-1|Normal|Status|-1|-1|20|32|Priority=+3;FollowMe|0|The user draws attention to itself, making all targets take aim only at the user.|
334|Nature Power|-1|-1|Normal|Special|-1|-1|20|32|NaturePower|0|An attack that makes use of nature’s power. Its effects vary depending on the user’s environment.|
335|Charge|-1|-1|Electric|Status|-1|-1|20|32|SpecialDefence=+1:User;Charge|0|The user boosts the power of the Electric move it uses on the next turn. It also raises the user's Sp. Def stat.|
336|Helping Hand|-1|-1|Normal|Status|-1|-1|20|32|Priority=+5;HelpingHand|0|The user assists an ally by boosting the power of its attack.|
337|Trick|-1|-1|Psychic|Status|-1|100|10|16|Trick|0|The user catches the target off guard and swaps its held item with its own.|
338|Role Play|-1|-1|Psychic|Status|-1|-1|10|16|RolePlay|0|The user mimics the target completely, copying the target's natural Ability.|
339|Wish|-1|-1|Normal|Status|-1|-1|10|16|Wish|0|One turn after this move is used, the target's HP is restored by half the user's maximum HP.|
340|Assist|-1|-1|Normal|Status|-1|-1|20|32|Assist|0|The user hurriedly and randomly uses a move among those known by other Pokémon in the party.|
341|Ingrain|-1|-1|Grass|Status|-1|-1|20|32|Ingrain|0|The user lays roots that restore its HP on every turn. Because it is rooted, it can't switch out.|
342|Superpower|-1|-1|Fighting|Physical|120|100|5|8|Attack=-1:User;Defence=-1:User|1|The user attacks the target with great power. However, it also lowers the user's Attack and Defense.|
343|Magic Coat|-1|-1|Psychic|Status|-1|-1|15|24|Priority=+4;MagicCoat|0|A barrier reflects back to the target moves like Leech Seed and moves that damage status.|
344|Recycle|-1|-1|Normal|Status|-1|-1|10|16|Recycle|0|The user recycles a held item that has been used in battle so it can be used again.|
345|Revenge|-1|-1|Fighting|Physical|60|100|10|16|Priority=-4;Revenge|1|An attack move that inflicts double the damage if the user has been hurt by the opponent in the same turn.|
346|Yawn|-1|-1|Normal|Status|-1|-1|10|16|Drowsy|0|The user lets loose a huge yawn that lulls the target into falling asleep on the next turn.|
347|Knock Off|-1|-1|Dark|Physical|20|100|20|32|Remove=Item|1|The user slaps down the target's held item, preventing that item from being used in the battle.|
348|Eruption|-1|-1|Fire|Special|-1|100|5|8|Eruption|0|The user attacks the opposing team with explosive fury. The lower the user's HP, the less powerful this attack becomes.|
349|Skill Swap|-1|-1|Psychic|Status|-1|-1|10|16|SkillSwap|0|The user employs its psychic power to exchange Abilities with the target.|
350|Imprison|-1|-1|Psychic|Status|-1|-1|10|16|Imprison|0|If the opponents know any move also known by the user, the opponents are prevented from using it.|
351|Refresh|-1|-1|Normal|Status|-1|-1|20|32|Remove=Paralysis;Remove=Burn;Remove=Poison|0|The user rests to cure itself of a poisoning, burn, or paralysis.|
352|Grudge|-1|-1|Ghost|Status|-1|-1|5|8|Grudge|0|If the user faints, the user's grudge fully depletes the PP of the opponent's move that knocked it out.|
353|Snatch|-1|-1|Dark|Status|-1|-1|10|16|Priority=+4;Snatch|0|The user steals the effects of any healing or stat-changing move the opponent attempts to use.|
354|Secret Power|-1|-1|Normal|Physical|70|100|20|32|SecretPower|0|The user attacks the target with a secret power. Its added effects vary depending on the user's environment.|
355|Arm Thrust|-1|-1|Fighting|Physical|15|100|20|32|MultipleHit=2to5|1|The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.|
356|Camouflage|-1|-1|Normal|Status|-1|-1|20|32|Camouflage|0|The user’s type is changed depending on its environment, such as at water’s edge, in grass, or in a cave.|
357|Tail Glow|-1|-1|Bug|Status|-1|-1|20|32|SpecialAttack=+3:User|0|The user stares at flashing lights to focus its mind, drastically raising its Sp. Atk stat.|
358|Luster Purge|-1|-1|Psychic|Special|70|100|5|8|SpecialDefence=-2:Chance=50%|0|The user lets loose a damaging burst of light. It may also harshly reduce the target's Sp. Def stat.|
359|Mist Ball|-1|-1|Psychic|Special|70|100|5|8|SpecialAttack=-2:Chance=50%|0|A mistlike flurry of down envelops and damages the target. It may also harshly lower the target's Sp. Atk.|
360|FeatherDance|-1|-1|Flying|Status|-1|-1|15|24|Attack=-2|0|The user covers the target's body with a mass of down that harshly lowers its Attack stat.|
361|Teeter Dance|-1|-1|Normal|Status|-1|-1|20|32|Confusion|0|The user performs a wobbly dance that confuses the Pokémon around it.|
362|Blaze Kick|-1|-1|Fire|Physical|85|90|10|16|Burn:Chance=10%;CriticalHit=+1|1|The user launches a kick that lands a critical hit more easily. It may also leave the target with a burn.|
363|Ice Ball|-1|-1|Ice|Physical|30|90|20|32|Rollout|1|The user continually rolls into the target over five turns. It becomes stronger each time it hits.|
364|Needle Arm|-1|-1|Grass|Physical|60|100|15|24|Flinch:Chance=30%|1|The user attacks by wildly swinging its thorny arms. It may also make the target flinch.|
365|Slack Off|-1|-1|Normal|Status|-1|-1|10|16|HP=+50%|0|The user slacks off, restoring its own HP by up to half of its maximum HP.|
366|Hyper Voice|-1|-1|Normal|Special|90|100|10|16|None|0|The user lets loose a horribly echoing shout with the power to inflict damage.|
367|Crush Claw|-1|-1|Normal|Physical|75|95|10|16|Defence=-1:Chance=50%|1|The user slashes the target with hard and sharp claws. It may also lower the target's Defense.|
368|Blast Burn|-1|-1|Fire|Special|150|90|5|8|WaitAfter=+1|0|The target is razed by a fiery explosion. The user must rest on the next turn, however.|
369|Hydro Cannon|-1|-1|Water|Special|150|90|5|8|WaitAfter=+1|0|The target is hit with a watery blast. The user must rest on the next turn, however.|
370|Meteor Mash|-1|-1|Steel|Physical|100|85|10|16|Attack=+1:Chance=50%:User|1|The target is hit with a hard punch fired like a meteor. It may also raise the user's Attack.|
371|Weather Ball|-1|-1|Normal|Special|50|100|10|16|WeatherBall|0|An attack move that varies in power and type depending on the weather.|
372|Aromatherapy|-1|-1|Grass|Status|-1|-1|5|8|HealBell|0|The user releases a soothing scent that heals all status problems affecting the user's party.|
373|Fake Tears|-1|-1|Dark|Status|-1|100|20|32|SpecialDefence=-2|0|The user feigns crying to fluster the target, harshly lowering its Sp. Def stat.|
374|Odor Sleuth|-1|-1|Normal|Status|-1|-1|40|64|OdorSleuth|0|Enables a Ghost-type target to be hit with Normal- and Fighting-type attacks. It also enables an evasive target to be hit.|
375|Silver Wind|-1|-1|Bug|Special|60|100|5|8|Stats=+1:Chance=10%:User|0|The target is attacked with powdery scales blown by wind. It may also raise all the user's stats.|
376|Metal Sound|-1|-1|Steel|Status|-1|85|40|64|SpecialDefence=-2|0|A horrible sound like scraping metal harshly reduces the target's Sp. Def stat.|
377|GrassWhistle|-1|-1|Grass|Status|-1|55|15|24|Sleep|0|The user plays a pleasant melody that lulls the target into a deep sleep.|
378|Tickle|-1|-1|Normal|Status|-1|100|20|32|Attack=-1;Defence=-1|0|The user tickles the target into laughing, reducing its Attack and Defense stats.|
379|Cosmic Power|-1|-1|Psychic|Status|-1|-1|20|32|Defence=+1:User;SpecialDefence=+1:User|0|The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.|
380|Water Spout|-1|-1|Water|Special|-1|100|5|8|Eruption|0|The user spouts water to damage the opposing team. The lower the user's HP, the less powerful it becomes.|
381|Signal Beam|-1|-1|Bug|Special|75|100|15|24|Confusion:Chance=10%|0|The user attacks with a sinister beam of light. It may also confuse the target.|
382|Shadow Punch|-1|-1|Ghost|Physical|60|-1|20|32|AlwaysHit|1|The user throws a punch from the shadows. The punch lands without fail.|
383|Extrasensory|-1|-1|Psychic|Special|80|100|30|48|Flinch:Chance=10%|0|The user attacks with an odd, unseeable power. It may also make the target flinch.|
384|Sky Uppercut|-1|-1|Fighting|Physical|85|90|15|24|None|1|The user attacks the target with an uppercut thrown skyward with force.|
385|Sheer Cold|-1|-1|Ice|Special|-1|-1|5|8|OHKO|0|The target is attacked with a blast of absolute-zero cold. The target instantly faints if it hits.|
386|Muddy Water|-1|-1|Water|Special|95|85|10|16|Accuracy=-1:Chance=30%|0|The user attacks by shooting muddy water at the opposing team. It may also lower the targets' accuracy.|
387|Bullet Seed|-1|-1|Grass|Physical|25|100|30|48|MultipleHit=2to5|0|The user forcefully shoots seeds at the target. Two to five seeds are shot in rapid succession.|
